original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
5,12,0.47,0.909648,0.49,0.884615,0.87,0.111607,0.89,0.0820537,0.477708225,0.87785496,0.400146735,,
1,12,0.51,0.90303,0.53,0.873539,0.91,0.102733,0.93,0.0797373,0.512054864,0.912376966,0.400322102,,
15,7,0.29,0.901361,0.31,0.895317,0.69,0.110492,0.71,0.0712841,0.29450364,0.695351983,0.400848343,,
6,6,0.25,0.933333,0.27,0.894928,0.65,0.118103,0.67,0.0982949,0.267358677,0.668278381,0.400919704,,
4,8,0.33,0.907776,0.35,0.873297,0.73,0.109407,0.75,0.0830875,0.334510572,0.737148312,0.40263774,,
19,11,0.43,0.928115,0.45,0.895044,0.85,0.101385,0.87,0.0693669,0.447002812,0.850865136,0.403862324,,
5,10,0.37,0.941071,0.39,0.898148,0.79,0.106612,0.81,0.0690872,0.389137059,0.793524069,0.40438701,,
15,6,0.23,0.908738,0.25,0.896923,0.63,0.158934,0.65,0.0987718,0.244791367,0.649591704,0.404800337,,
6,13,0.51,0.912069,0.53,0.871573,0.91,0.109524,0.93,0.0922285,0.515960589,0.921013269,0.405052681,,
3,14,0.57,0.900901,0.59,0.891713,0.97,0.112411,0.99,0.0783626,0.571961254,0.97729021,0.405328957,,
17,11,0.41,0.917544,0.43,0.889959,0.81,0.143801,0.83,0.0962322,0.422719956,0.828415852,0.405695896,,
6,14,0.55,0.91097,0.57,0.893899,0.95,0.118136,0.97,0.0987775,0.562852205,0.968736989,0.405884783,,
16,11,0.41,0.916821,0.43,0.896755,0.83,0.103289,0.85,0.0811479,0.426765673,0.832970945,0.406205272,,
10,10,0.39,0.934944,0.41,0.886513,0.81,0.102473,0.83,0.0663317,0.404430427,0.811368517,0.406938091,,
16,6,0.23,0.919298,0.25,0.897281,0.65,0.105907,0.67,0.0805271,0.24753009,0.654654865,0.407124774,,
8,12,0.47,0.90169,0.49,0.897059,0.87,0.130837,0.89,0.0881935,0.47729864,0.884462697,0.407164057,,
2,8,0.27,0.920833,0.29,0.896907,0.69,0.107056,0.71,0.0788705,0.287414528,0.69500683,0.407592302,,
6,2,0.09,0.927686,0.11,0.9,0.51,0.116642,0.53,0.0749877,0.11,0.517990532,0.407990532,,
6,7,0.29,0.903986,0.31,0.885484,0.69,0.122013,0.71,0.0879065,0.294308723,0.70290839,0.408599667,,
16,10,0.37,0.918033,0.39,0.895623,0.79,0.108081,0.81,0.0737582,0.386093708,0.794708823,0.408615115,,
15,10,0.39,0.907563,0.41,0.893455,0.79,0.129713,0.81,0.0994447,0.400721576,0.809633081,0.408911505,,
1,13,0.55,0.90596,0.57,0.867749,0.95,0.107944,0.97,0.0948319,0.553119521,0.962117052,0.408997532,,
8,14,0.57,0.900937,0.59,0.876884,0.97,0.111218,0.99,0.0886671,0.570779113,0.979949049,0.409169936,,
2,3,0.09,0.906926,0.11,0.898635,0.51,0.1083,0.53,0.0813089,0.106707273,0.516150175,0.409442902,,
19,13,0.51,0.900154,0.53,0.893817,0.91,0.106268,0.93,0.09375,0.510486034,0.920014379,0.409528345,,
20,4,0.17,0.932292,0.19,0.897314,0.59,0.110599,0.61,0.0909091,0.188464177,0.600765926,0.412301748,,
6,12,0.45,0.926782,0.47,0.894215,0.87,0.109961,0.89,0.088729,0.466447324,0.879383007,0.412935683,,
19,4,0.17,0.905204,0.19,0.883994,0.57,0.13783,0.59,0.0954457,0.174907119,0.58785095,0.41294383,,
13,8,0.31,0.918919,0.33,0.894366,0.73,0.119701,0.75,0.0731225,0.325410744,0.738459268,0.413048524,,
7,12,0.47,0.912903,0.49,0.882436,0.89,0.103884,0.91,0.0747532,0.478470148,0.892666593,0.414196445,,
16,12,0.45,0.916264,0.47,0.881902,0.87,0.106061,0.89,0.076,0.459466271,0.874032467,0.414566196,,
19,6,0.23,0.926415,0.25,0.895385,0.65,0.122844,0.67,0.0857719,0.247025459,0.662324093,0.415298634,,
