Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
97,0.75,6,0.402062,7,0.508333,6.921587263,16,0.449597,17,0.526882,16.65217054,10,9.730583275
98,0.75,7,0.461538,8,0.598309,7.281214585,18,0.445736,19,0.543825,18.55321188,11,11.27199729
99,0.75,6,0.484848,7,0.567265,6.183845566,18,0.456439,19,0.608782,18.28594028,12,12.10209471
100,0.75,6,0.434608,7,0.518962,6.775209237,17,0.45576,18,0.58465,17.34323842,11,10.56802918
101,0.75,5,0.402256,6,0.544118,5.689007627,17,0.361277,18,0.51626,17.89508527,12,12.20607764
102,0.75,6,0.430353,7,0.554604,6.560534724,18,0.478178,19,0.559361,18.26880012,12,11.70826539
103,0.75,6,0.454874,7,0.577465,6.368102063,17,0.393281,18,0.52975,17.78200177,11,11.41389971
104,0.75,5,0.396518,6,0.511013,5.903812394,17,0.472554,18,0.55794,17.32143443,12,11.41762203
105,0.75,6,0.439673,7,0.538813,6.608503127,17,0.483516,18,0.577586,17.17523121,11,10.56672808
106,0.75,6,0.438384,7,0.604869,6.370099408,18,0.487854,19,0.607456,18.10155349,12,11.73145408
107,0.75,6,0.438525,7,0.584071,6.422375057,19,0.474409,20,0.606625,19.19355449,13,12.77117943
108,0.75,7,0.462054,8,0.582022,7.316301014,21,0.484716,22,0.588843,21.14678229,14,13.83048128
109,0.75,6,0.44213,7,0.609342,6.346087601,17,0.426259,18,0.561338,17.54591017,11,11.19982257
110,0.75,5,0.405242,6,0.509728,5.906896618,18,0.46223,19,0.576344,18.3309848,13,12.42408819
111,0.75,6,0.481799,7,0.540486,6.310136828,18,0.392857,19,0.538961,18.73333379,12,12.42319696
112,0.75,6,0.470356,7,0.598739,6.230902845,17,0.418919,18,0.502994,17.96438894,11,11.73348609
113,0.75,6,0.418787,7,0.533605,6.70731941,18,0.453988,19,0.534483,18.57161314,12,11.86429373
114,0.75,6,0.448141,7,0.606786,6.326887075,17,0.485961,18,0.574427,17.15869374,11,10.83180666
115,0.75,6,0.431068,7,0.504386,6.940178401,18,0.447489,19,0.546638,18.52961704,12,11.58943864
116,0.75,6,0.439842,7,0.623701,6.327196384,18,0.48008,19,0.610338,18.15292727,12,11.82573088
117,0.75,6,0.490683,7,0.615984,6.074356948,17,0.431942,18,0.535922,17.65452972,11,11.58017277
118,0.75,6,0.396061,7,0.565844,6.612187321,19,0.429104,20,0.555319,19.5617082,13,12.94952087
119,0.75,5,0.412632,6,0.548387,5.643571139,19,0.366795,20,0.521127,19.86310681,14,14.21953567
120,0.75,6,0.450939,7,0.611588,6.305392502,16,0.495446,17,0.675115,16.02534661,10,9.719954108
121,0.75,6,0.456175,7,0.568282,6.390921174,17,0.396917,18,0.544534,17.69831388,11,11.30739271
122,0.75,6,0.451292,7,0.635593,6.264285055,16,0.463415,17,0.568627,16.3477265,10,10.08344144
123,0.75,6,0.486275,7,0.605578,6.115043209,19,0.490385,20,0.607375,19.08218651,13,12.9671433
