Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
36,0.55,90,0.498411,91,0.528541,90.05273813,320,0.476784,321,0.501144,320.9530378,230,230.9002996
37,0.55,0,0,0,0,1000,0,0,0,0,1000,1000,1000
38,0.55,81,0.489869,82,0.50882,81.5345892,319,0.485792,320,0.507919,319.6421114,238,238.1075222
39,0.55,0,0,0,0,1000,0,0,0,0,1000,1000,1000
40,0.55,74,0.488172,75,0.510297,74.53459887,311,0.490971,312,0.504646,311.6602559,237,237.1256571
41,0.55,84,0.476134,85,0.500586,84.97603468,331,0.497546,332,0.505488,331.3089902,247,246.3329555
42,0.55,75,0.4819,76,0.515421,75.53996003,291,0.481871,292,0.524919,291.4211345,216,215.8811745
43,0.55,95,0.489421,96,0.513403,95.44112251,353,0.480638,354,0.502583,353.8822967,258,258.4411741
44,0.55,105,0.494813,106,0.514045,105.2697067,297,0.487208,298,0.504994,297.7192174,192,192.4495106
45,0.55,109,0.48694,110,0.508065,109.6182249,344,0.493737,345,0.500555,344.9185978,235,235.300373
46,0.55,76,0.481876,77,0.512543,76.59099358,287,0.492841,288,0.534386,287.1723192,211,210.5813256
47,0.55,61,0.48034,62,0.517572,61.5280404,283,0.475543,284,0.500569,283.9772636,222,222.4492233
48,0.55,93,0.467002,94,0.50222,93.93696405,316,0.492857,317,0.503417,316.6764205,223,222.7394564
49,0.55,83,0.499455,84,0.510465,83.04950045,288,0.474249,289,0.504689,288.8459593,205,205.7964588
50,0.55,82,0.489302,83,0.512792,82.45542784,284,0.483112,285,0.501625,284.9122238,202,202.456796
51,0.55,107,0.478781,108,0.5,108,338,0.470957,339,0.508009,338.7838443,231,230.7838443
52,0.55,83,0.492537,84,0.503876,83.65817091,330,0.486391,331,0.508696,330.6101323,247,246.9519613
53,0.55,133,0.488962,134,0.514547,133.4314247,369,0.488914,370,0.51298,369.4606499,236,236.0292252
54,0.55,101,0.499379,102,0.513498,101.0439833,323,0.485795,324,0.500535,323.9637042,222,222.9197209
55,0.55,81,0.489514,82,0.509637,81.52109526,337,0.473138,338,0.501754,337.9387056,256,256.4176104
56,0.55,86,0.476351,87,0.529516,86.44482272,324,0.480899,325,0.502907,324.8679117,238,238.4230889
57,0.55,59,0.491228,60,0.514226,59.38142447,276,0.494305,277,0.508344,276.4056557,217,217.0242312
