Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
6,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
7,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
8,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
9,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
10,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
11,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
12,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
13,2.5,0.5,49,0.82679,50,0.795745,49.86294089,0,0,0,0,100,100,100
14,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
15,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
16,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
17,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
18,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
19,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
0,2.5,0.55,14,0.804111,15,0.751799,14.07858618,50,0.837927,51,0.798165,50.95385041,36,36.87526423
1,2.5,0.55,17,0.814507,18,0.77972,17.4170236,45,0.830626,46,0.793632,45.82786398,28,28.41084038
2,2.5,0.55,13,0.834755,14,0.791712,13.80744837,46,0.805621,47,0.762485,46.13030879,33,32.32286043
3,2.5,0.55,16,0.820513,17,0.792474,16.73158815,56,0.814064,57,0.759804,56.25919646,40,39.52760832
4,2.5,0.55,15,0.816986,16,0.787846,15.58291009,53,0.831567,54,0.785388,53.68357912,38,38.10066903
5,2.5,0.55,12,0.805836,13,0.764072,12.13973757,54,0.803315,55,0.794811,54.38981656,42,42.25007898
6,2.5,0.55,14,0.830971,15,0.786127,14.69063866,48,0.84,49,0.79285,48.84835631,34,34.15771765
7,2.5,0.55,16,0.826374,17,0.776418,16.52794459,51,0.806416,52,0.777911,51.22508332,35,34.69713873
8,2.5,0.55,12,0.825488,13,0.773649,12.49167615,47,0.818634,48,0.78972,47.64446289,35,35.15278674
9,2.5,0.55,15,0.804878,16,0.771226,15.14495424,46,0.826902,47,0.793594,46.80767383,31,31.66271959
10,2.5,0.55,14,0.81106,15,0.785545,14.43347051,53,0.813333,54,0.783398,53.44539836,39,39.01192786
11,2.5,0.55,21,0.81377,22,0.796275,21.78708202,59,0.80285,60,0.789773,59.21793989,38,37.43085787
12,2.5,0.55,21,0.833333,22,0.788866,21.74961207,55,0.825688,56,0.78526,55.63540121,34,33.88578914
