Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
2,2,0.9,4,0.852031,5,0.705319,4.3546472,15,0.841111,16,0.728462,15.36494776,11,11.01030056
3,2,0.9,4,0.83971,5,0.724512,4.344710846,16,0.845401,17,0.711934,16.34016648,12,11.99545564
4,2,0.9,4,0.84507,5,0.767544,4.581353352,15,0.861957,16,0.735597,15.4903213,11,10.90896795
5,2,0.9,4,0.818725,5,0.699647,4.15724987,15,0.8564,16,0.736308,15.46963994,11,11.31239007
6,2,0.9,4,0.820969,5,0.664502,4.134015479,14,0.910068,15,0.799799,14.99817718,10,10.86416171
7,2,0.9,4,0.8037,5,0.658254,4.025438995,16,0.894164,17,0.754167,16.67261441,12,12.64717542
8,2,0.9,3,0.905941,4,0.797607,3.977910905,15,0.874194,16,0.757174,15.63402837,12,11.65611747
9,2,0.9,3,0.905337,4,0.798067,3.98198005,15,0.892683,16,0.782834,15.84373094,12,11.86175089
10,2,0.9,4,0.813017,5,0.679612,4.097575053,15,0.847128,16,0.738964,15.43570874,11,11.33813369
11,2,0.9,4,0.842602,5,0.736466,4.401390669,17,0.802062,18,0.6902,17.01843343,13,12.61704276
12,2,0.9,4,0.806999,5,0.666667,4.049874583,15,0.813542,16,0.681015,15.10218295,11,11.05230837
13,2,0.9,3,0.914959,4,0.798345,3.985807879,15,0.834369,16,0.720884,15.3028506,12,11.31704272
14,2,0.9,4,0.859275,5,0.741299,4.502432698,16,0.81128,17,0.657205,16.0732111,12,11.5707784
15,2,0.9,4,0.840637,5,0.710394,4.312009091,15,0.849951,16,0.746939,15.48490467,11,11.17289558
16,2,0.9,4,0.85625,5,0.733813,4.459419947,16,0.807927,17,0.648649,16.04976833,12,11.59034838
17,2,0.9,3,0.898841,4,0.78172,3.843922098,15,0.838509,16,0.700431,15.27889309,12,11.43497099
18,2,0.9,4,0.828961,5,0.684571,4.200574832,15,0.856144,16,0.762304,15.59829497,11,11.39772014
19,2,0.9,3,0.88787,4,0.756944,3.671142477,15,0.828657,16,0.718266,15.25959544,12,11.58845296
0,2,0.95,4,0.830784,5,0.715726,4.267552017,17,0.806618,18,0.69206,17.05776986,13,12.79021785
1,2,0.95,4,0.808704,5,0.709127,4.087409743,15,0.831804,16,0.690381,15.22488563,11,11.13747588
2,2,0.95,4,0.803862,5,0.680328,4.031262648,15,0.846949,16,0.728778,15.39729714,11,11.36603449
3,2,0.95,4,0.853682,5,0.679287,4.307818458,15,0.887033,16,0.765625,15.7168638,11,11.40904534
4,2,0.95,4,0.80061,5,0.668558,4.004619392,16,0.801603,17,0.665184,16.01175056,12,12.00713117
5,2,0.95,4,0.816008,5,0.652552,4.097934612,15,0.820329,16,0.682723,15.14773338,11,11.04979877
6,2,0.95,3,0.919687,4,0.794507,3.956119188,14,0.860215,15,0.734612,14.47940734,11,10.52328815
7,2,0.95,4,0.804598,5,0.715665,4.051701843,15,0.880076,16,0.775615,15.7665636,11,11.71486175
8,2,0.95,4,0.836288,5,0.688728,4.245920304,15,0.892857,16,0.781991,15.83756066,11,11.59164036
9,2,0.95,4,0.841939,5,0.721258,4.347519494,15,0.907292,16,0.785124,15.87823325,11,11.53071376
10,2,0.95,3,0.901499,4,0.760209,3.718373558,15,0.849038,16,0.719466,15.3784614,12,11.66008784
