Number,GROWTH,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Actual_Timed_Gens
9,4,12,0,13,1060,12.94339623,16,888,17,1004,16.96551724,4.022121015
9,4,9,0,10,1006,9.994035785,16,860,17,1018,16.88607595,6.892040164
9,4,7,0,8,1008,7.992063492,17,957,18,1021,17.671875,9.679811508
9,4,7,0,8,1011,7.989119683,19,996,20,1025,19.13793103,11.14881135
9,4,9,0,10,1049,9.953288847,17,870,18,1034,17.79268293,7.83939408
9,4,8,0,9,1036,8.965250965,16,960,17,1006,16.86956522,7.904314252
9,4,8,0,9,1018,8.982318271,18,920,19,1008,18.90909091,9.926772638
9,4,7,0,8,1001,7.999000999,18,996,19,1021,18.16,10.160999
9,4,9,0,10,1031,9.969932105,19,942,20,1010,19.85294118,9.883009072
9,4,7,0,8,1004,7.996015936,17,969,18,1039,17.44285714,9.446841207
9,4,9,0,10,1036,9.965250965,19,1000,20,1117,19,9.034749035
9,4,9,0,10,1042,9.959692898,18,964,19,1003,18.92307692,8.963384025
9,4,8,0,9,1029,8.971817298,18,946,19,1044,18.55102041,9.57920311
9,4,8,0,9,1037,8.964320154,21,1000,22,1110,21,12.03567985
9,4,11,0,12,1091,11.91659028,16,997,17,1061,16.046875,4.130284716
9,4,9,0,10,1036,9.965250965,21,974,22,1044,21.37142857,11.40617761
9,4,10,0,11,1055,10.9478673,23,955,24,1034,23.56962025,12.62175295
9,4,11,0,12,1048,11.95419847,16,875,17,1006,16.95419847,5
9,4,8,0,9,1042,8.959692898,18,909,19,1021,18.8125,9.852807102
0,4.5,9,0,10,1035,9.966183575,17,977,18,1048,17.32394366,7.357760087
0,4.5,9,0,10,1023,9.977517107,21,986,22,1013,21.51851852,11.54100141
0,4.5,13,0,14,1106,13.90415913,17,953,18,1016,17.74603175,3.841872614
0,4.5,9,0,10,1024,9.9765625,18,996,19,1002,18.66666667,8.690104167
0,4.5,9,0,10,1055,9.947867299,18,975,19,1025,18.5,8.552132701
0,4.5,10,0,11,1030,10.97087379,14,768,15,1020,14.92063492,3.949761134
0,4.5,10,0,11,1032,10.96899225,20,982,21,1029,20.38297872,9.413986475
0,4.5,10,0,11,1018,10.98231827,16,982,17,1045,16.28571429,5.303396015
0,4.5,12,0,13,1004,12.99601594,18,947,19,1036,18.59550562,5.599489682
0,4.5,7,0,8,1043,7.958772771,18,962,19,1032,18.54285714,10.58408437
0,4.5,7,0,8,1023,7.977517107,17,998,18,1112,17.01754386,9.040026753
0,4.5,11,0,12,1024,11.9765625,16,1000,17,1051,16,4.0234375
0,4.5,10,0,11,1063,10.94073377,16,954,17,1081,16.36220472,5.421470952
0,4.5,8,0,9,1081,8.92506938,16,928,17,1024,16.75,7.82493062
0,4.5,10,0,11,1059,10.94428706,19,995,20,1012,19.29411765,8.349830584
0,4.5,8,0,9,1002,8.998003992,14,884,15,1053,14.68639053,5.688386541
0,4.5,10,0,11,1008,10.99206349,18,985,19,1041,18.26785714,7.275793651
0,4.5,7,0,8,1021,7.979431929,17,993,18,1050,17.12280702,9.143375088
0,4.5,7,0,8,1047,7.955109838,16,878,17,1014,16.89705882,8.941948986
0,4.5,7,0,8,1010,7.99009901,16,856,17,1005,16.96644295,8.976343943
1,4.5,11,0,12,1060,11.94339623,18,959,19,1017,18.70689655,6.763500325
1,4.5,7,0,8,1032,7.968992248,16,985,17,1010,16.6,8.631007752
1,4.5,10,0,11,1079,10.92678406,19,975,20,1018,19.58139535,8.65461129
1,4.5,8,0,9,1002,8.998003992,16,907,17,1009,16.91176471,7.913760714
1,4.5,11,0,12,1051,11.95147479,18,962,19,1016,18.7037037,6.752228918
1,4.5,11,0,12,1001,11.999001,19,957,20,1047,19.47777778,7.478776779
1,4.5,9,0,10,1078,9.927643785,16,902,17,1009,16.91588785,6.988244066
1,4.5,8,0,9,1082,8.924214418,19,971,20,1019,19.60416667,10.67995225
1,4.5,10,0,11,1027,10.97370983,19,998,20,1095,19.02061856,8.046908722
1,4.5,9,0,10,1024,9.9765625,15,941,16,1007,15.89393939,5.917376894
1,4.5,10,0,11,1025,10.97560976,15,782,16,1010,15.95614035,4.980530595
1,4.5,9,0,10,1030,9.970873786,19,932,20,1082,19.45333333,9.482459547
1,4.5,9,0,10,1002,9.998003992,16,989,17,1018,16.37931034,6.381306353
1,4.5,12,0,13,1002,12.99800399,14,818,15,1052,14.77777778,1.779773786
1,4.5,7,0,8,1003,7.997008973,16,931,17,1010,16.87341772,8.876408748
1,4.5,7,0,8,1032,7.968992248,17,939,18,1037,17.62244898,9.653456732
1,4.5,9,0,10,1004,9.996015936,17,980,18,1011,17.64516129,7.649145354
